address,evmos_address,evmos_9000-1_staked,evmos_9000-1_count
nomic102lsz7e4772s3ac4n7aj298jvyr66ze4w3txra,evmos102lsz7e4772s3ac4n7aj298jvyr66ze4sgfj2l,892000000,1
nomic102n0crkwcggn3f5df04k2sg4d03c4gmv4xg6zp,evmos102n0crkwcggn3f5df04k2sg4d03c4gmvtl2wtr,4452883,2
nomic102nn4kvzhvcsspdg7epszlhjw92dc8g3uvxjyx,evmos102nn4kvzhvcsspdg7epszlhjw92dc8g3z4yxdy,137000000,2
nomic102ntu04lxtaj5lepy4ywttulcrl4cmz86ndazf,evmos102ntu04lxtaj5lepy4ywttulcrl4cmz8y20ftt,3000000,1
nomic102nu56v2scfw0t49mlz8tpnvz7cwhqcur0dqtt,evmos102nu56v2scfw0t49mlz8tpnvz7cwhqcuak05zf,964248658,3
nomic102p7982wvce57dpyddat57vmkukmev5kc3qac7,evmos102p7982wvce57dpyddat57vmkukmev5kxgzf3u,250219826,2
nomic102p8ctzppgcgxylzeqq9qmx73n5hewr86fvlpt,evmos102p8ctzppgcgxylzeqq9qmx73n5hewr8yswtgf,80000000,4
nomic102p8j5e4amkxjqnmwvja48hesced2rhz37c0gw,evmos102p8j5e4amkxjqnmwvja48hesced2rhz086mpv,26150000,2
nomic102pxn2w28vvne6xx6sc3rxnu2u7adnxh9rxydg,evmos102pxn2w28vvne6xx6sc3rxnu2u7adnxhm6ysy2,3000000,1
nomic102s3vrps9tn5gv4cc4hev0kydzyp0wj3n5sz27,evmos102s3vrps9tn5gv4cc4hev0kydzyp0wj3ddjkru,298342114,2
nomic102sncxp579zd5jpnwfmlnl5e7tnqyx7zx8awht,evmos102sncxp579zd5jpnwfmlnl5e7tnqyx7zc7l67f,4761272,1
nomic102tgke0erf3gh90u0hapva9503uyyk437tmcz7,evmos102tgke0erf3gh90u0hapva9503uyyk43qjevtu,254700000,10
nomic102tq7tph0cucp5x4cfenkjwcedt3yuem56rcff,evmos102tq7tph0cucp5x4cfenkjwcedt3yuem2rpvqt,120000000,2
nomic102vwq0h0jpmccv82c7em4lv52a3hh9hkl5x47e,evmos102vwq0h0jpmccv82c7em4lv52a3hh9hkpdyphm,141550000,1
nomic102w3xa2kmntfecrud3yt493x0k67nvysy94ffr,evmos102w3xa2kmntfecrud3yt493x0k67nvys6uhaqp,239928495,2
nomic102znh74etys4480fw65agfxl7an5vnzv6fzd5t,evmos102znh74etys4480fw65agfxl7an5vnzvysqeaf,50180000,1
nomic102zznk38ty20mmwkw8dhawmlt7p27jzszddjqd,evmos102zznk38ty20mmwkw8dhawmlt7p27jzsu50xf0,269500000,2
nomic1030pqcu45vf79cgjqsgwjat8wkwtqkqgujv4qj,evmos1030pqcu45vf79cgjqsgwjat8wkwtqkqgztwpfs,6780000,1
nomic103224jgmgpzgtlm0rh4xqeqc9d0dujk7zsyk4t,evmos103224jgmgpzgtlm0rh4xqeqc9d0dujk7ufxzuf,9021822,6
nomic103259w70d8sz6kewj9qasgv2ft3juw6jk0ssu6,evmos103259w70d8sz6kewj9qasgv2ft3juw6jgkjy4c,107408736,2
nomic1032q799cjt49f8se09mgvz794svmzr0p9nvj2s,evmos1032q799cjt49f8se09mgvz794svmzr0pm2wxrj,74145000,3
nomic10330l7p8yv22k8p5kzzyf8hygn3vs9wltzffdz,evmos10330l7p8yv22k8p5kzzyf8hygn3vs9wl4mtayq,115595000,3
nomic10332xsa2ak2vj59smtw6wv56kavzctanaeacpp,evmos10332xsa2ak2vj59smtw6wv56kavzctanrqlvgr,149230000,5
nomic1034jza49s2q3psz3sxm7cu67yqyn0wc7ql2n4v,evmos1034jza49s2q3psz3sxm7cu67yqyn0wc77xg8uw,30000000,1
nomic1034u08uk8qtcz6pl4kwnl62smkj30f3jhqmwl0,evmos1034u08uk8qtcz6pl4kwnl62smkj30f3jfee6kd,2000000,1
nomic1034y6a9fg8jc6vvuczjetx0desgafuxsdk5ft6,evmos1034y6a9fg8jc6vvuczjetx0desgafuxsn0kazc,540305953,3
nomic10360sj4e6ggmptfsdlte83vnkazpxhzfk3fggp,evmos10360sj4e6ggmptfsdlte83vnkazpxhzfggtupr,25270318,1
nomic1036hm8zvcstkc4acxnfalvatqgelv5l205mlzr,evmos1036hm8zvcstkc4acxnfalvatqgelv5l23dettp,10076858,1
nomic1037tpuagjr0khrqau8fz4ww2anupk9evnnj9js,evmos1037tpuagjr0khrqau8fz4ww2anupk9evd2s3mj,4950125,1
nomic103adufte00zyp9hpt6hj2f5tyl4xjpcvyq7hp9,evmos103adufte00zyp9hpt6hj2f5tyl4xjpcv6eurg8,101000000,2
nomic103cc6mhzmtv7y7ucte7rfnfzz3qsx9h3832ahy,evmos103cc6mhzmtv7y7ucte7rfnfzz3qsx9h3eggf7x,10470000,1
